repo_id,label,group,group_name,target_block_count,residual_idx,mixed_mass,forced_mix_l1,forced_mix_l1_per_mixed_mass,observed_attn_share,count_attn_share
Jonnester/LR-AttnRes-tail-r512,Sliced LR-AttnRes Full r=512,sliced_lr_attnres,Sliced LR-AttnRes,8,42,0.970084668809124,0.257932461550217,0.26588654562168773,0.4010970121982449,0.5
Jonnester/LR-AttnRes-tail-r512,Sliced LR-AttnRes Full r=512,sliced_lr_attnres,Sliced LR-AttnRes,8,43,0.8675243693472046,0.26059162076865505,0.300385360891643,0.3523334072646747,0.5
Jonnester/LR-AttnRes-tail-r512,Sliced LR-AttnRes Full r=512,sliced_lr_attnres,Sliced LR-AttnRes,8,44,0.9709988649029708,0.3799669459836967,0.39131554084943826,0.4758199156225158,0.5
Jonnester/LR-AttnRes-tail-r512,Sliced LR-AttnRes Full r=512,sliced_lr_attnres,Sliced LR-AttnRes,8,45,0.9482907516469165,0.1807681100694134,0.19062519565383257,0.4537499732187299,0.5253113052584781
Jonnester/LR-AttnRes-tail-r512,Sliced LR-AttnRes Full r=512,sliced_lr_attnres,Sliced LR-AttnRes,8,46,0.9758761308716264,0.22334111784395527,0.22886215860661843,0.4856514622256559,0.5
Jonnester/LR-AttnRes-tail-r512,Sliced LR-AttnRes Full r=512,sliced_lr_attnres,Sliced LR-AttnRes,8,47,0.9569339879610523,0.2120431248003965,0.2215859479003339,0.5267559533918066,0.5204955260122308
Jonnester/LR-AttnRes-tail-r512,Sliced LR-AttnRes Full r=512,sliced_lr_attnres,Sliced LR-AttnRes,8,48,0.951960311473794,0.1905740777322099,0.20019120065748258,0.5420915105169772,0.5
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,1,0.0,0.0,0.0,0.0,0.0
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,2,0.5492579844908986,0.10194378122081607,0.18560272968140223,0.4071986351592989,0.5
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,3,0.5925727469649742,0.006150422865136137,0.010379186178637534,0.6718562597559854,0.6666666666666666
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,4,0.7084603126698393,0.09904043013002813,0.13979672306101854,0.43010163846949073,0.5
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,5,0.73500296582536,0.04724513360155298,0.0642788339615743,0.5678605830192128,0.6
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,6,0.793949126712675,0.1688197302382167,0.21263293145394624,0.3936835342730269,0.5
