repo_id,label,group,residual_idx,category,count,mass_mean,mass_std
Jonnester/LR-AttnRes-Full,Full,standard_attnres,38,previous,1007616,0.9751341086093003,0.008537566587472007
Jonnester/LR-AttnRes-Full,Full,standard_attnres,39,embedding,1007616,0.0231936406798479,0.010560856124343435
Jonnester/LR-AttnRes-Full,Full,standard_attnres,39,previous,1007616,0.9768063668313065,0.01056044964990482
Jonnester/LR-AttnRes-Full,Full,standard_attnres,40,embedding,1007616,0.031369564979057005,0.009412375595760828
Jonnester/LR-AttnRes-Full,Full,standard_attnres,40,previous,1007616,0.9686304364747148,0.009411986783261713
Jonnester/LR-AttnRes-Full,Full,standard_attnres,41,embedding,1007616,0.01815754051009814,0.00977159324436334
Jonnester/LR-AttnRes-Full,Full,standard_attnres,41,previous,1007616,0.9818424640632257,0.009771178774986957
Jonnester/LR-AttnRes-Full,Full,standard_attnres,42,embedding,1007616,0.028683120778542223,0.01222260591324511
Jonnester/LR-AttnRes-Full,Full,standard_attnres,42,previous,1007616,0.9713168764502053,0.012222558155904636
Jonnester/LR-AttnRes-Full,Full,standard_attnres,43,embedding,1007616,0.03459005440941187,0.014795154031459123
Jonnester/LR-AttnRes-Full,Full,standard_attnres,43,previous,1007616,0.9654099432433524,0.014795052170587094
Jonnester/LR-AttnRes-Full,Full,standard_attnres,44,embedding,1007616,0.024255340994615866,0.011217041370679727
Jonnester/LR-AttnRes-Full,Full,standard_attnres,44,previous,1007616,0.9757446535234529,0.011216900713590812
Jonnester/LR-AttnRes-Full,Full,standard_attnres,45,embedding,1007616,0.020027266595724638,0.010830217232093414
Jonnester/LR-AttnRes-Full,Full,standard_attnres,45,previous,1007616,0.9799727395298036,0.010829869452350272
Jonnester/LR-AttnRes-Full,Full,standard_attnres,46,embedding,1007616,0.026701217880699693,0.009722476229107664
Jonnester/LR-AttnRes-Full,Full,standard_attnres,46,previous,1007616,0.9732987841939539,0.00972248129404068
Jonnester/LR-AttnRes-Full,Full,standard_attnres,47,embedding,1007616,0.021346608600844214,0.010544746460775347
Jonnester/LR-AttnRes-Full,Full,standard_attnres,47,previous,1007616,0.9786533907177003,0.01054483085504743
Jonnester/LR-AttnRes-Full,Full,standard_attnres,48,embedding,1007616,0.024842374193353382,0.013169389047683623
Jonnester/LR-AttnRes-Full,Full,standard_attnres,48,previous,1007616,0.9751576282144562,0.013169513897215344
Jonnester/LR-AttnRes-n4,n=4,standard_attnres,1,embedding,1007616,0.9239273318430272,0.03074194200851631
Jonnester/LR-AttnRes-n4,n=4,standard_attnres,1,partial,1007616,0.0760726696713184,0.03074207317151253
Jonnester/LR-AttnRes-n4,n=4,standard_attnres,2,embedding,1007616,0.7745514759203282,0.09074666064742982
Jonnester/LR-AttnRes-n4,n=4,standard_attnres,2,partial,1007616,0.22544852553344355,0.09074665736947102
Jonnester/LR-AttnRes-n4,n=4,standard_attnres,3,embedding,1007616,0.8565043530813078,0.1131113746199861
Jonnester/LR-AttnRes-n4,n=4,standard_attnres,3,partial,1007616,0.1434956447380345,0.11311136921968089
Jonnester/LR-AttnRes-n4,n=4,standard_attnres,4,embedding,1007616,0.8053896814827027,0.1348058415816735
Jonnester/LR-AttnRes-n4,n=4,standard_attnres,4,partial,1007616,0.19461031439827708,0.13480583623833253
Jonnester/LR-AttnRes-n4,n=4,standard_attnres,5,embedding,1007616,0.8423826161438857,0.08422011249637493
Jonnester/LR-AttnRes-n4,n=4,standard_attnres,5,partial,1007616,0.1576173814937351,0.08422008751892748
Jonnester/LR-AttnRes-n4,n=4,standard_attnres,6,embedding,1007616,0.7159220862194775,0.15156605973709544
Jonnester/LR-AttnRes-n4,n=4,standard_attnres,6,partial,1007616,0.28407791789954273,0.15156605051818117
Jonnester/LR-AttnRes-n4,n=4,standard_attnres,7,embedding,1007616,0.866637837596056,0.07975160525251941
Jonnester/LR-AttnRes-n4,n=4,standard_attnres,7,partial,1007616,0.133362160344434,0.07975159331596543
Jonnester/LR-AttnRes-n4,n=4,standard_attnres,8,embedding,1007616,0.7682321304228248,0.12459290384593266
Jonnester/LR-AttnRes-n4,n=4,standard_attnres,8,partial,1007616,0.23176786824455106,0.12459290693259918
Jonnester/LR-AttnRes-n4,n=4,standard_attnres,9,embedding,1007616,0.8968155684509898,0.06453294889720203
Jonnester/LR-AttnRes-n4,n=4,standard_attnres,9,partial,1007616,0.10318443345708575,0.06453296520594602
Jonnester/LR-AttnRes-n4,n=4,standard_attnres,10,embedding,1007616,0.840472348337251,0.11067193633607193
Jonnester/LR-AttnRes-n4,n=4,standard_attnres,10,partial,1007616,0.1595276443938899,0.11067190836396137
Jonnester/LR-AttnRes-n4,n=4,standard_attnres,11,embedding,1007616,0.005193534591121644,0.03591060266453079
Jonnester/LR-AttnRes-n4,n=4,standard_attnres,11,partial,1007616,0.9948064602487455,0.03591063984476443
Jonnester/LR-AttnRes-n4,n=4,standard_attnres,12,completed,1007616,0.44718684631634537,0.25926235006825704
Jonnester/LR-AttnRes-n4,n=4,standard_attnres,12,embedding,1007616,0.5528131502915204,0.25926234889014027
Jonnester/LR-AttnRes-n4,n=4,standard_attnres,13,completed,1007616,0.7420156113500518,0.06994937353551987
Jonnester/LR-AttnRes-n4,n=4,standard_attnres,13,embedding,1007616,0.0633045434346044,0.033723342291797465
Jonnester/LR-AttnRes-n4,n=4,standard_attnres,13,partial,1007616,0.1946798437009982,0.06250564221886222
Jonnester/LR-AttnRes-n4,n=4,standard_attnres,14,completed,1007616,0.3905281426945353,0.06719232291915314
