repo_id,label,group,group_name,attnres_type,attnres_num_blocks,lrid_rank,use_lrid,lrid_key_from_output_tail,use_attnres,paper_val_loss,paper_added_flops,num_batches,tokens_seen,query_query_l2_mean,query_query_l2_median,query_query_abs_mean_mean,query_query_abs_mean_median,query_exact_zero_fraction_mean,query_exact_zero_fraction_median,query_near_zero_1e-8_fraction_mean,query_near_zero_1e-8_fraction_median,query_participation_ratio_mean,query_participation_ratio_median,query_participation_fraction_mean,query_participation_fraction_median,query_hoyer_sparsity_mean,query_hoyer_sparsity_median,query_dims_90_energy_mean,query_dims_90_energy_median,query_dims_95_energy_mean,query_dims_95_energy_median,query_dims_99_energy_mean,query_dims_99_energy_median,query_used_gt_0.001x_max_fraction_mean,query_used_gt_0.001x_max_fraction_median,query_used_gt_0.01x_max_fraction_mean,query_used_gt_0.01x_max_fraction_median,query_used_gt_0.05x_max_fraction_mean,query_used_gt_0.05x_max_fraction_median,query_used_gt_0.1x_max_fraction_mean,query_used_gt_0.1x_max_fraction_median,query_query_dim,query_query_sites,attn_entropy_mean,attn_normalized_entropy_mean,attn_effective_sources_mean,attn_top1_mass_mean,attn_top3_mass_mean,attn_top5_mass_mean,attn_gini_mean,attn_simpson_concentration_mean,attn_js_generalized,attn_mean_weight_cv,attn_contribution_rms_mean,key_raw_key_rms_mean,key_score_key_abs_mean,key_score_key_dim_std_mean,key_score_key_dim_abs_mean,key_value_rms_mean,key_tail_energy_fraction_mean,key_key_value_norm_corr,key_key_value_pairwise_similarity_corr,key_pairwise_samples,key_distributions_seen,check_output_abs_error_max_mean,check_output_rel_error_max_mean
Jonnester/LR-AttnRes-tail-r512,Full r=512,sliced_lr_attnres,Sliced LR-AttnRes,full,,512,True,True,True,2.9617,0.609853,123,1007616,0.34496374397228163,0.33990247547626495,0.012581520655658096,0.012474819086492062,0.0,0.0,0.0,0.0,213.1314493815104,210.9254913330078,0.4162723620732625,0.4119638502597809,0.18327663466334343,0.18376041948795319,245.1875,245.0,298.5,298.5,387.6458333333333,388.0,0.9975992838541666,0.998046875,0.9827067057291666,0.984375,0.9095865885416666,0.9091796875,0.8158772786458334,0.80859375,512,48,2.5900617936792654,0.8392382259468035,16.912314970480395,0.234850158265017,0.4644153199731536,0.5968194513765939,0.4777456452025146,0.1430847891921879,0.06296485004933967,0.35434203561373084,0.017993316473744594,0.32561808515691854,0.800922023826568,0.9750939958460102,0.17132779501130396,0.31923542127375065,0.5174838434765257,0.9963429964142416,0.9950860022260104,512,48365568,,
Jonnester/LR-AttnRes-tail-r64-n4,n=4 r=64,sliced_lr_attnres,Sliced LR-AttnRes,block,4,64,True,True,True,2.9533,0.059291,123,1007616,0.3012219527736306,0.3081957697868347,0.03366711433045566,0.03466770052909851,0.0,0.0,0.0,0.0,39.21808930238088,40.322967529296875,0.6127826453497013,0.6300463676452637,0.1251403532611827,0.11951623857021332,38.708333333333336,39.0,44.354166666666664,44.0,52.666666666666664,53.0,0.9990234375,1.0,0.9905598958333334,1.0,0.9606119791666666,0.96875,0.9182942708333334,0.921875,64,48,0.9356307814599375,0.7822323983893565,2.664063183777539,0.6069207239976824,0.9499348577990281,1.0,0.347050193700369,0.4748868644893735,0.019972833630417162,0.23755272229957866,0.1748638636526814,1.0334798867561492,0.8294100230786858,0.9474511524177285,0.2750493727079276,0.8207412603370011,0.08628473067825622,0.98343667107406,0.9559387607145238,512,48365568,,
Jonnester/LR-AttnRes-tail-r64-n8,n=8 r=64,sliced_lr_attnres,Sliced LR-AttnRes,block,8,64,True,True,True,2.948,0.093172,123,1007616,0.31207396058986586,0.32124295830726624,0.035330071269224085,0.0371013879776001,0.0,0.0,0.0,0.0,41.41419219970703,42.43722343444824,0.6470967531204224,0.6630816161632538,0.11168530288462837,0.10327846556901932,39.8125,40.0,45.4375,46.0,53.729166666666664,54.0,0.9986979166666666,1.0,0.9931640625,1.0,0.9671223958333334,0.9765625,0.9384765625,0.9453125,64,48,1.306864808780472,0.8105469769407013,4.029968905820433,0.48375851677624676,0.8400811729876976,0.9553913483370934,0.3805328266427607,0.3535167374458861,0.020416809194205607,0.22486621737813875,0.10829556264376579,0.9337509107023632,0.8213724343720608,0.9251533060701514,0.3487746054987134,0.698201834373534,0.10244346344184996,0.9787949278856614,0.9535216031989792,512,48365568,,
Jonnester/LR-AttnRes-tail-r64-n16,n=16 r=64,sliced_lr_attnres,Sliced LR-AttnRes,block,16,64,True,True,True,2.9494,0.160934,123,1007616,0.3077478238071005,0.31595103442668915,0.03487499329882363,0.03598397970199585,0.0,0.0,0.0,0.0,42.14382139841715,42.30809783935547,0.658497209350268,0.6610640287399292,0.10773940461998184,0.10340980067849159,40.791666666666664,41.0,46.145833333333336,46.0,53.791666666666664,54.0,0.9996744791666666,1.0,0.9918619791666666,1.0,0.9622395833333334,0.96875,0.9313151041666666,0.9375,64,48,1.8049899252954376,0.8499777948882602,7.009765331358284,0.3556590455919908,0.6832706647897316,0.8231921119761823,0.3870475078014238,0.23877944634232903,0.021809451525323476,0.21623140526328957,0.057060528581607796,0.6833225382403476,0.8190620115494154,0.9119742633326463,0.3688293260665808,0.5467785901385102,0.1009416528138586,0.9442190192138824,0.9511129621207313,512,48365568,,
Jonnester/LR-AttnRes-Full-16,Full r=16,lr_attnres,Projected LR-AttnRes,full,,16,True,False,True,2.9606,0.896552,123,1007616,0.2430846138546864,0.23085813969373703,0.058539931972821556,0.055858731269836426,0.0,0.0,0.0,0.0,13.28692994515101,13.373429298400879,0.8304331215719382,0.8358393311500549,0.04985569740195691,0.050163865089416504,12.791666666666666,13.0,13.9375,14.0,15.291666666666666,15.0,1.0,1.0,0.9986979166666666,1.0,0.9908854166666666,1.0,0.9830729166666666,1.0,16,48,2.930588556125477,0.9675957992531581,23.254202098280274,0.1279752034786079,0.29940877407965905,0.42193700293669606,0.20706944183767004,0.08565316010243829,0.009780186622748883,0.12012232571729686,0.016052457117540792,0.9999975797462567,0.8239750520215986,0.9145220857858001,0.3626013134052779,0.2709071718412094,0.016008603451930403,-0.00014280807832470742,0.6751363562832536,512,48365568,,
Jonnester/LR-AttnRes-Full-32,Full r=32,lr_attnres,Projected LR-AttnRes,full,,32,True,False,True,2.9538,1.386536,123,1007616,0.30483172833919525,0.31034308671951294,0.051620688599844776,0.052808284759521484,0.0,0.0,0.0,0.0,26.77821409702301,27.157294273376465,0.8368191905319691,0.8486654460430145,0.052065581801192216,0.048916811123490334,24.125,24.0,26.5,26.0,29.479166666666668,30.0,1.0,1.0,0.99609375,1.0,0.9876302083333334,1.0,0.9772135416666666,1.0,32,48,2.829311543257862,0.9316787095311373,20.876783439500866,0.16061541635030754,0.3613495395839376,0.4947242885096084,0.31469908829142407,0.09883504902513641,0.01893583350322674,0.17507087022800252,0.018296506233176173,0.9999982413375432,0.8090761411786428,0.9140222566099825,0.37002421469381863,0.29814910210878476,0.03232398401764504,-0.0006799012071522517,0.6686202127950663,512,48365568,,
Jonnester/LR-AttnRes-Full-64,Full r=64,lr_attnres,Projected LR-AttnRes,full,,64,True,False,True,2.9501,2.366503,123,1007616,0.33148706921686727,0.3369971215724945,0.038276509614661336,0.03899568319320679,0.0,0.0,0.0,0.0,44.90754000345866,45.1202507019043,0.7016803125540415,0.7050039172172546,0.08783385607724388,0.08809532597661018,42.833333333333336,42.5,48.25,48.0,55.604166666666664,55.0,0.9990234375,1.0,0.9967447916666666,1.0,0.9778645833333334,0.984375,0.9527994791666666,0.953125,64,48,2.698539668684043,0.8889702893541193,17.982815274458915,0.19319954980795742,0.42070298731771266,0.5612624949727683,0.4116022434984119,0.11442164202765903,0.031763857137894716,0.2399432703837104,0.01999544905673151,0.9999990021923066,0.8090757268560484,0.9381956529459994,0.31246589237105943,0.32265471125450046,0.06371807898648886,-0.003531666433470378,0.7793687235746041,512,48365568,,
Jonnester/LR-AttnRes-n4-r32,n=4 r=32,lr_attnres,Projected LR-AttnRes,block,4,32,True,False,True,2.9488,1.024809,123,1007616,0.2832408972705404,0.289685919880867,0.04761043998102347,0.04935026168823242,0.0,0.0,0.0,0.0,25.60257136821747,26.25296115875244,0.8000803552567959,0.8204050362110138,0.06357118083784978,0.05298802629113197,23.520833333333332,24.0,26.041666666666668,26.0,29.0625,29.0,1.0,1.0,0.9967447916666666,1.0,0.9850260416666666,1.0,0.9661458333333334,0.96875,32,48,0.8347503643175006,0.6880360550441473,2.422028277018852,0.6308908066119201,0.9744199805345316,1.0,0.4028481671278716,0.5193400292286301,0.008666475777843317,0.17374835488009768,0.03132867232264148,3.543316730708057,0.825747574703711,0.9042184495582107,0.3282655930187739,0.09056460142872602,0.03325523896989432,0.24515829485237617,0.7910442705869078,512,48365568,,
Jonnester/LR-AttnRes-LR-n8-r32,n=8 r=32,lr_attnres,Projected LR-AttnRes,block,8,32,True,False,True,2.9477,1.057694,123,1007616,0.29383912061651546,0.3048075884580612,0.04953915160149336,0.05110597610473633,0.0,0.0,0.0,0.0,26.012538075447083,26.6340274810791,0.8128918148577213,0.8323133587837219,0.06042460036890892,0.059789082035422325,23.458333333333332,23.5,26.083333333333332,26.0,29.25,29.0,0.9993489583333334,1.0,0.998046875,1.0,0.9876302083333334,1.0,0.9733072916666666,1.0,32,48,1.281801935946594,0.7942445787240254,3.9570008026067485,0.4852614518063178,0.845753189176321,0.9522878025484278,0.3961559995222675,0.3626392677951311,0.00837315583899994,0.15676880502249185,0.03226281716159643,2.841088672673564,0.8270615002782393,0.9474611573942975,0.2610375397190866,0.1333768305770941,0.03271060173812061,0.38846276279983033,0.7366870489720153,512,48365568,,
Jonnester/LR-AttnRes-n16-r32,n=16 r=32,lr_attnres,Projected LR-AttnRes,block,16,32,True,False,True,2.9543,1.123462,123,1007616,0.28240787082662183,0.28742142021656036,0.04760205248991648,0.048938751220703125,0.0,0.0,0.0,0.0,25.629989703496296,26.159890174865723,0.8009371782342593,0.8174965679645538,0.05950906570069492,0.05390450917184353,23.666666666666668,24.0,26.25,26.0,29.5,29.0,1.0,1.0,0.9993489583333334,1.0,0.986328125,1.0,0.974609375,1.0,32,48,1.8737585164182555,0.8892145542564188,7.507141988411505,0.313881831306732,0.6417898982914725,0.7972567192200563,0.33880010657239606,0.21462206198987843,0.00882291417888544,0.13725262478113362,0.028871939876841154,2.0477930305879273,0.8189445405055038,0.940566788010445,0.28281092556710047,0.1978073532890617,0.03357242987796849,0.39365501757472915,0.669671645731651,512,48365568,,
